,Unnamed: 0,Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_cm,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_kg,Price,Weight_pounds,Screen_Size_inch,Price-binned,Full HD,IPS Panel
0,0,Acer,4,2,1,5,35.56,0.5517241379310345,8,256,1.6,978,3.5280000000000005,14.0,low,False,True
1,1,Dell,3,1,1,3,39.62,0.6896551724137931,4,256,2.2,634,4.851000000000001,15.598425196850393,low,True,False
2,2,Dell,3,1,1,7,39.62,0.9310344827586208,8,256,2.2,946,4.851000000000001,15.598425196850393,low,True,False
3,3,Dell,4,2,1,5,33.78,0.5517241379310345,8,128,1.22,1244,2.6901,13.299212598425196,low,False,True
4,4,HP,4,2,1,7,39.62,0.6206896551724138,8,256,1.91,837,4.21155,15.598425196850393,low,True,False
5,5,Dell,3,1,1,5,39.62,0.5517241379310345,8,256,2.2,1016,4.851000000000001,15.598425196850393,low,True,False
6,6,HP,3,3,1,5,39.62,0.5517241379310345,8,256,2.1,1117,4.6305000000000005,15.598425196850393,low,True,False
7,7,Acer,3,2,1,5,38.1,0.5517241379310345,4,256,2.2,866,4.851000000000001,15.0,low,False,True
8,8,Dell,3,1,1,5,39.62,0.8620689655172414,4,256,2.3,812,5.0714999999999995,15.598425196850393,low,True,False
9,9,Acer,3,3,1,7,38.1,0.6206896551724138,8,256,2.2,1068,4.851000000000001,15.0,low,False,True
10,10,Dell,3,1,1,7,39.62,0.6206896551724138,8,256,2.13,975,4.69665,15.598425196850393,low,True,False
11,11,HP,3,2,1,3,39.62,0.6896551724137931,4,128,1.91,558,4.21155,15.598425196850393,low,True,False
12,12,Asus,3,2,2,3,39.62,0.6896551724137931,4,256,2.0,527,4.41,15.598425196850393,low,True,False
13,13,Dell,4,2,1,5,35.56,0.5517241379310345,8,256,1.7,1117,3.7485,14.0,low,True,False
14,14,Asus,3,2,1,5,35.56,0.5517241379310345,8,256,1.4,1195,3.0869999999999997,14.0,low,True,False
15,15,HP,3,2,1,5,39.62,0.8620689655172414,8,256,1.86,876,4.1013,15.598425196850393,low,True,False
16,16,Dell,4,1,1,7,33.02,0.6206896551724138,8,256,1.4,1213,3.0869999999999997,13.000000000000002,low,False,True
17,17,Dell,3,1,1,7,39.62,0.6206896551724138,8,256,2.2,1105,4.851000000000001,15.598425196850393,low,True,False
18,18,Dell,4,2,1,5,38.1,0.5517241379310345,8,256,1.88,1392,4.1453999999999995,15.0,low,False,True
19,19,HP,3,2,1,5,35.56,0.5517241379310345,8,256,1.63,1092,3.59415,14.0,low,True,False
20,20,HP,4,3,1,7,38.1,0.6206896551724138,8,256,1.83,888,4.035150000000001,15.0,low,False,True
21,21,HP,3,2,1,5,39.62,0.8620689655172414,8,256,1.96,761,4.3218,15.598425196850393,low,True,False
22,22,Dell,4,2,1,7,33.02,0.6206896551724138,8,256,1.21,2095,2.66805,13.000000000000002,medium,False,True
23,23,Dell,1,3,1,5,39.62,0.8620689655172414,8,256,2.65,1518,5.84325,15.598425196850393,low,True,False
24,24,Asus,4,2,1,7,35.56,0.9310344827586208,8,256,1.25,1333,2.75625,14.0,low,True,False
25,25,Dell,3,1,2,3,39.62,0.6896551724137931,4,256,2.2,616,4.851000000000001,15.598425196850393,low,True,False
26,26,Asus,3,3,1,3,39.62,0.8275862068965517,6,256,2.0,733,4.41,15.598425196850393,low,True,False
27,27,HP,3,1,1,7,39.62,0.9310344827586208,8,256,1.91,913,4.21155,15.598425196850393,low,True,False
28,28,HP,4,3,1,7,33.02,0.9310344827586208,8,256,1.38,1421,3.0429,13.000000000000002,low,False,True
29,29,HP,3,3,1,5,35.56,0.8620689655172414,6,256,1.8622317596566522,837,4.106221030042918,14.0,low,False,True
30,30,Asus,4,3,1,7,35.56,0.9310344827586208,8,256,1.3,1515,2.8665000000000003,14.0,low,False,True
31,31,Lenovo,3,2,1,7,35.56,0.9310344827586208,8,256,1.58,1880,3.4839,14.0,medium,False,True
32,32,Dell,4,2,1,5,33.02,0.5517241379310345,8,256,1.21,2069,2.66805,13.000000000000002,medium,False,True
33,33,Asus,3,3,1,7,39.62,0.6206896551724138,8,256,1.7,1420,3.7485,15.598425196850393,low,True,False
34,34,HP,3,2,1,5,43.94,0.5517241379310345,8,256,2.5,1179,5.5125,17.299212598425196,low,True,False
35,35,Acer,4,2,1,7,35.56,0.6206896551724138,8,256,1.6,1123,3.5280000000000005,14.0,low,False,True
36,36,Acer,3,3,1,3,39.62,0.9310344827586208,4,256,2.2,727,4.851000000000001,15.598425196850393,low,True,False
37,37,HP,3,2,1,7,35.56,0.6206896551724138,8,256,1.63,1255,3.59415,14.0,low,True,False
38,38,HP,3,2,1,5,33.02,0.8620689655172414,4,256,1.8622317596566522,888,4.106221030042918,13.000000000000002,low,False,True
39,39,Lenovo,3,1,1,5,35.56,0.5517241379310345,8,256,1.75,1418,3.85875,14.0,low,False,True
40,40,Asus,4,2,1,7,35.56,0.6206896551724138,8,256,1.25,1396,2.75625,14.0,low,True,False
41,41,HP,4,2,1,5,35.56,0.9310344827586208,4,256,1.48,1374,3.2634,14.0,low,True,False
42,42,HP,3,1,1,5,39.62,0.5517241379310345,6,256,1.91,786,4.21155,15.598425196850393,low,True,False
43,43,Acer,3,3,1,5,43.18,0.5517241379310345,4,256,3.0,1023,6.615,17.0,low,False,True
44,44,Dell,3,1,1,5,39.62,0.5517241379310345,8,256,2.13,925,4.69665,15.598425196850393,low,True,False
45,45,Lenovo,1,3,1,7,38.1,0.9655172413793103,16,256,2.5,1371,5.5125,15.0,low,False,True
46,46,Acer,3,3,1,5,43.18,0.5517241379310345,8,256,3.0,1085,6.615,17.0,low,False,True
47,47,Huawei,4,2,1,5,33.02,0.8620689655172414,8,256,1.05,1714,2.3152500000000003,13.000000000000002,medium,False,True
48,48,HP,3,3,1,5,43.94,0.5517241379310345,8,256,2.5,1172,5.5125,17.299212598425196,low,True,False
49,49,Dell,4,2,1,5,33.78,0.5517241379310345,8,256,1.8622317596566522,1777,4.106221030042918,13.299212598425196,medium,True,False
50,50,Acer,4,2,1,5,33.02,0.41379310344827586,8,256,1.12,1256,2.4696000000000002,13.000000000000002,low,False,True
51,51,HP,3,3,1,7,43.94,0.6206896551724138,8,256,2.5,1327,5.5125,17.299212598425196,low,True,False
52,52,Dell,4,2,1,7,33.78,0.6206896551724138,8,256,1.2,1841,2.646,13.299212598425196,medium,True,False
53,53,Dell,4,1,1,7,33.02,0.6206896551724138,8,256,1.4,1184,3.0869999999999997,13.000000000000002,low,False,True
54,54,HP,3,3,1,7,35.56,0.6206896551724138,8,256,1.63,1310,3.59415,14.0,low,True,False
55,55,Dell,4,2,1,5,35.56,0.5517241379310345,8,256,1.6,1460,3.5280000000000005,14.0,low,True,False
56,56,Dell,3,1,2,5,39.62,0.5517241379310345,8,256,2.2,860,4.851000000000001,15.598425196850393,low,True,False
57,57,Toshiba,4,2,1,7,33.78,0.8620689655172414,8,256,1.2,1731,2.646,13.299212598425196,medium,True,False
58,58,Acer,3,3,1,7,39.62,0.9310344827586208,8,256,2.2,1057,4.851000000000001,15.598425196850393,low,True,False
59,59,Asus,3,3,1,5,39.62,0.8620689655172414,8,256,2.0,977,4.41,15.598425196850393,low,True,False
60,60,Dell,3,2,1,5,35.56,0.8620689655172414,8,256,1.6,1091,3.5280000000000005,14.0,low,True,False
61,61,Dell,3,1,2,7,39.62,0.9310344827586208,16,256,1.8622317596566522,1142,4.106221030042918,15.598425196850393,low,True,False
62,62,Acer,1,3,1,5,38.1,0.8620689655172414,8,256,2.5,1075,5.5125,15.0,low,False,True
63,63,Dell,1,3,1,5,39.62,0.8620689655172414,8,256,2.56,1117,5.6448,15.598425196850393,low,True,False
64,64,Asus,1,3,1,7,43.94,1.0,16,256,3.6,3810,7.938000000000001,17.299212598425196,max,True,False
65,65,Acer,3,3,1,3,43.18,0.9310344827586208,4,256,3.0,892,6.615,17.0,low,False,True
66,66,Dell,4,2,1,5,33.78,0.5517241379310345,8,256,1.41,1206,3.10905,13.299212598425196,low,True,False
67,67,Lenovo,3,2,1,7,39.62,0.6206896551724138,8,256,2.05,1118,4.52025,15.598425196850393,low,True,False
68,68,Dell,3,1,2,7,39.62,0.6206896551724138,8,256,1.8622317596566522,934,4.106221030042918,15.598425196850393,low,True,False
69,69,Lenovo,1,3,1,5,38.1,0.8620689655172414,8,256,2.5,1053,5.5125,15.0,low,False,True
70,70,Lenovo,3,2,1,5,39.62,0.8620689655172414,6,256,2.2,735,4.851000000000001,15.598425196850393,low,True,False
71,71,Acer,3,3,1,7,38.1,0.6206896551724138,8,256,3.0,1208,6.615,15.0,low,False,True
72,72,Lenovo,3,2,1,7,38.1,0.9310344827586208,8,256,1.95,1394,4.29975,15.0,low,False,True
73,73,Asus,4,3,1,5,39.62,0.8620689655172414,8,256,1.7,1241,3.7485,15.598425196850393,low,True,False
74,74,Dell,3,3,1,7,39.62,0.9655172413793103,8,256,2.0,2323,4.41,15.598425196850393,medium,True,False
75,75,Lenovo,3,2,1,5,39.62,0.5517241379310345,8,256,2.05,939,4.52025,15.598425196850393,low,True,False
76,76,Acer,3,3,2,7,39.62,0.9655172413793103,8,256,2.5,1244,5.5125,15.598425196850393,low,True,False
77,77,Dell,5,3,1,7,43.94,1.0,16,256,3.42,3665,7.5411,17.299212598425196,max,True,False
78,78,Toshiba,3,3,1,7,38.1,0.8620689655172414,8,256,2.2,1325,4.851000000000001,15.0,low,False,True
79,79,Lenovo,3,2,1,5,33.02,0.8620689655172414,8,256,1.1,1269,2.4255000000000004,13.000000000000002,low,False,True
80,80,HP,3,2,1,5,35.56,0.8620689655172414,8,256,1.95,1245,4.29975,14.0,low,True,False
81,81,HP,3,2,1,7,35.56,0.9310344827586208,8,256,1.48,1641,3.2634,14.0,medium,True,False
82,82,Asus,3,2,1,7,35.56,0.9310344827586208,8,256,2.0,1390,4.41,14.0,low,True,False
83,83,Asus,4,3,1,7,39.62,0.9310344827586208,8,256,1.7,1334,3.7485,15.598425196850393,low,True,False
84,84,HP,4,2,1,7,31.75,0.9310344827586208,8,256,1.26,1696,2.7783,12.5,medium,True,False
85,85,Toshiba,3,2,1,5,38.1,0.8620689655172414,8,256,2.0,1198,4.41,15.0,low,False,True
86,86,Asus,1,3,1,7,39.62,0.9655172413793103,8,256,2.5,1269,5.5125,15.598425196850393,low,True,False
87,87,HP,3,2,1,5,35.56,0.896551724137931,8,256,1.48,1611,3.2634,14.0,low,True,False
88,88,HP,3,2,1,5,39.62,0.8620689655172414,8,256,1.84,1453,4.0572,15.598425196850393,low,True,False
89,89,Dell,3,3,1,5,39.62,0.5517241379310345,8,256,2.0,1452,4.41,15.598425196850393,low,True,False
90,90,Dell,4,2,1,7,33.78,0.6206896551724138,8,256,1.2,2006,2.646,13.299212598425196,medium,True,False
91,91,HP,3,2,1,7,39.62,0.9310344827586208,8,256,1.84,1656,4.0572,15.598425196850393,medium,True,False
92,92,HP,5,3,1,7,39.62,0.9655172413793103,8,256,2.6,2208,5.7330000000000005,15.598425196850393,medium,True,False
93,93,Dell,3,2,1,5,35.56,0.896551724137931,8,256,1.36,1813,2.9988,14.0,medium,True,False
94,94,Asus,3,2,1,5,35.56,0.8620689655172414,8,256,2.0,1200,4.41,14.0,low,True,False
95,95,Dell,3,1,1,7,39.62,0.9310344827586208,8,256,2.33,1142,5.137650000000001,15.598425196850393,low,True,False
96,96,HP,4,2,1,7,35.56,0.9310344827586208,8,256,1.36,2223,2.9988,14.0,medium,False,True
97,97,Lenovo,3,3,1,5,35.56,0.8620689655172414,8,256,1.5,1396,3.3075,14.0,low,False,True
98,98,Lenovo,3,2,1,3,33.02,0.8275862068965517,4,128,1.5,697,3.3075,13.000000000000002,low,False,True
99,99,Dell,5,3,1,7,38.1,0.9310344827586208,8,256,2.0,2712,4.41,15.0,medium,False,True
100,100,MSI,1,3,1,7,43.94,0.9655172413793103,8,256,2.7,1714,5.953500000000001,17.299212598425196,medium,True,False
101,101,Dell,3,1,2,7,39.62,0.9310344827586208,8,256,2.33,989,5.137650000000001,15.598425196850393,low,True,False
102,102,Lenovo,3,1,1,7,38.1,0.6206896551724138,8,256,2.1,1562,4.6305000000000005,15.0,low,False,True
103,103,Lenovo,3,2,1,5,35.56,0.8620689655172414,8,256,1.9,1192,4.1895,14.0,low,False,True
104,104,Acer,3,3,2,7,39.62,0.9655172413793103,8,256,2.5,1117,5.5125,15.598425196850393,low,True,False
105,105,Dell,3,1,2,5,39.62,0.8620689655172414,4,256,2.3,761,5.0714999999999995,15.598425196850393,low,True,False
106,106,HP,4,2,1,7,35.56,0.8620689655172414,8,256,1.43,1905,3.15315,14.0,medium,True,False
107,107,Lenovo,4,1,1,7,35.56,0.6206896551724138,8,256,1.75,1544,3.85875,14.0,low,False,True
108,108,HP,3,2,1,7,39.62,1.0,8,256,2.31,1813,5.0935500000000005,15.598425196850393,medium,True,False
109,109,Dell,4,2,2,7,35.56,0.9655172413793103,8,256,1.6,1396,3.5280000000000005,14.0,low,True,False
110,110,Lenovo,3,2,1,7,33.02,0.9310344827586208,8,256,1.4,1283,3.0869999999999997,13.000000000000002,low,False,True
111,111,Lenovo,3,2,1,3,35.56,0.9310344827586208,4,128,1.7,761,3.7485,14.0,low,False,True
112,112,Asus,3,2,2,5,39.62,0.8620689655172414,4,256,2.0,710,4.41,15.598425196850393,low,True,False
113,113,Dell,3,1,1,5,39.62,0.5517241379310345,4,256,2.2,951,4.851000000000001,15.598425196850393,low,True,False
114,114,Lenovo,4,2,1,5,30.48,0.8620689655172414,8,256,1.36,1815,2.9988,12.0,medium,False,True
115,115,Dell,3,3,1,5,35.56,0.9655172413793103,8,256,1.64,1498,3.6162,14.0,low,True,False
116,116,MSI,1,3,1,5,39.62,0.8620689655172414,8,256,2.2,1306,4.851000000000001,15.598425196850393,low,True,False
117,117,Dell,5,3,1,7,38.1,0.9310344827586208,16,256,2.17,2509,4.78485,15.0,medium,False,True
118,118,Lenovo,3,2,1,5,35.56,0.8620689655172414,8,256,1.65,1709,3.6382499999999998,14.0,medium,True,False
119,119,Lenovo,3,3,1,7,39.62,1.0,8,256,2.67,2655,5.88735,15.598425196850393,medium,True,False
